"","Abiotrophia","Acidaminococcus","Acinetobacter","Actinobacillus","Actinomyces","Adlercreutzia","Aerococcus","Aeromonas","Aggregatibacter","Akkermansia","Alistipes","Alloprevotella","Alloscardovia","Anaerococcus","Anaeroglobus","Anaerostipes","Anaerotruncus","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Bulleidia","Butyricicoccus","Butyricimonas","Butyrivibrio","Campylobacter","Capnocytophaga","Cardiobacterium","Catenibacterium","Centipeda","Cetobacterium","Citrobacter","Clostridium","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Corynebacterium","Cronobacter","Cryptobacterium","Desulfovibrio","Dialister","Dorea","Dysgonomonas","Eggerthella","Eggerthia","Eikenella","Enterobacter","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Flavonifractor","Fretibacterium","Fusobacterium","Gardnerella","Gemella","Gordonibacter","Granulicatella","Haemophilus","Holdemania","Kingella","Klebsiella","Kosakonia","Lachnoanaerobaculum","Lactobacillus","Lactococcus","Lautropia","Leptotrichia","Leuconostoc","Megamonas","Megasphaera","Methanobrevibacter","Methanosphaera","Mitsuokella","Morganella","Mycoplasma","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Pantoea","Parabacteroides","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pectobacterium","Pediococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Plesiomonas","Porphyromonas","Prevotella","Propionibacterium","Proteus","Providencia","Pseudoflavonifractor","Pseudomonas","Pusillimonas","Pyramidobacter","Ralstonia","Raoultella","Roseburia","Rothia","Ruminococcus","Saccharopolyspora","Scardovia","Selenomonas","Serratia","Shewanella","Shigella","Shuttleworthia","Slackia","Solobacterium","Staphylococcus","Stomatobaculum","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Tannerella","Treponema","Turicibacter","unclassified","Veillonella","Weissella"
"ERR527016",0,0,0,0,0,0.00128,0,0,0,0,0.05283,0,0,0,0,0.01014,0,0,0,25.13291,0,0.01934,0.02132,0.18001,0,0,0,0,0,0,0,0,0,0,0,0.0682,0.07286,0,0,0,0,0,0,0,0,0,0.15042,0,0,0,0,0,0,0.11549,3.47208,3.86424,0,0,0,0,0,0,0,0.02667,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77022,0,0,0.08008,0,0,0,0,0,0,0,0,57.87812,0,0,0,0,0,0,0,0,0,7.20364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24617,0.022,0,0,0,0,0,0.564749999999989,0.03523,0
"ERR527017",0,0,0,0,0,0,0,0,0,0,6.70796,0,0,0,0,0,0,0,0,67.99321,0.54867,0,0.25916,0.25465,0,0,0.04611,0,0,0,0,0,0,0,0,0,0,0,0,0.61574,0.03543,0,0,0,0,0,0.10947,0,0,0,0,0,0,0.00695,7.35976,3.60386,0,0,0,0,0,0,0.00336,0.12105,0.01262,0,0,0,0,0,0,0,0,0,3.88571,0,0,0,0,0,0,0,2.02341,0,0,0.34848,0,0,2.35438,0,0,0,0,0,0,0,0,0,0,0,0.02629,0,0,0,0,0,0,0,0,0,1.86972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12478,0.69069,0,0,0,0,0,0.497539999999987,0.501,0
"ERR527018",0,0,0,0,0,0,0,0,0,0,5.12408,0,0,0,0,0.23307,0,0,0,12.22588,0,0.13672,0.12835,0.31134,0,0,0,0,0,0,0,0,0,0,0,0.00484,0.03087,0,0,0.28715,0.03456,0,0,0,0,0,0.3728,0,0,0,0,0,0,0.01057,0.22674,2.73942,0,0,0,0,0,0,0,0.08802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94633,0,0,0.02197,0,0,4.06523,0,0,0,0,0,0,0,0,0,0,0,70.70533,0,0,0,0,0,0,0,0,0,0.4732,0,0.28168,0,0,0,0,0,0,0,0,0,0,0,0.00381,0.3115,0,0,0,0,0,1.19802,0.03852,0
"ERR527019",0,0.70069,0,0,0,0,0,0,0,0,1.53793,0,0,0,0,0,0,0,0,76.06743,0,0,0.15518,0.46571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18995,8.26466,2.47027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55558,0,0,0,0,0,0,0,0,0,0,0.56466,0,0,5.09299,0,0,0,0,0,0,0,0,0,0,0,0.61133,0,0,0,0,0,0,0,0,0,0.3024,0,0.80528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21594,0,0
"ERR527020",0,1.22638,0,0,0,0,0,0,0,0,3.19753,0,0,0,0,0.04182,0.78589,0,0,68.397,0,0.37992,1.06687,0.21329,0,0,0.0201,0,0,0,0,0,0,0,0,0.11256,0.02161,0,0,0,0.04923,0,0,0,0,0,0.0089,0,0,0,0,0,0,0.14144,6.62417,3.91766,0.44663,0,0,0,0,0,0,0,0.11684,0,0,0,0,0,0,0,0,0,0.49125,0,0,0,0,0,0,0,0,0,0,1.17763,0,0,4.96135,0,0,0,0,0,0,0,0,0,0,0,0.89208,0,0,0,0,0,0,0,0,0,0.5106,0,1.46173,0,0,0,0,0,0,0,0,0,0,0,0.00259,0.35615,0,0,0,0,0,3.37878000000002,0,0
"ERR527021",0,0,0,0,0,0,0,0,0,0,0.29395,0,0,0,0,0,0,0,0,57.27991,0,0,0,0.75594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07539,0,0,0,0,0,0,0,16.03337,5.83749,0,0,0.21657,0,0,0,0,3.86834,0,0,1.28894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68032,0.23307,0,0.06118,0,0,0,1.90979000000002,0.35243,0
"ERR527022",0,0,0,0.04312,0,0,0,0,0,0,0.83881,0,0,0,0,0,0,0,0,47.10685,0,0,0.01241,0.23676,0,0,0,0,0,0,0,0,0,0,0,0,0.01171,0,0,0,0.02454,0,0,0,0,0,0.18214,0,0,0,0,0,0,0,16.31402,9.8271,0,0,0.45725,0,0,0,0,4.42195,0,0,2.04614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93626,0.28002,0,0.24804,0,0,0,2.89236,0.51074,0
"ERR527023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02669,0,0,0,52.57263,0,0.03805,0,0.61274,0,0.0038,0,0,0,0,0,0,0,0,0.01761,3.14125,0,0,0,0,0,0,0,0,0,0,0.25927,0,0,0,0,0.05878,0,2.45608,0.86509,2.1069,0,0,2.25049,0,0,0,0,0.98714,0,0,0.04272,0,0,0,0,0,0,0,18.6901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20401,0.36442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02124,0.01063,0,0,0,0,0,0.304459999999992,0.07548,0
"ERR527024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR527025",0,0,0,0,0,0.05766,0,0,0,0.77313,10.65732,0,0,0,0,0,0,0,0,26.32891,1.88162,0.69471,0.28701,0.80631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20136,3.19934,0,0,0,0.49545,0,2.17885,0,0,0,0,0,0,0.02016,12.43295,10.40918,0,0,0.76569,0,0,0,0,0.08281,0,0,0,0,0,0,0,0,0,0,5.75237,0,0,0,0,0,0,0,0.86398,0,0,0.13429,0,0,1.76384,0.27713,0,0,0,0,0,0,0,0,0,0,6.07155,0,0,0,0,0,0,0,0,0,9.85358,0,0.85578,0,0,0,0,0,0,0,0,0,0,0,0.1779,0.47775,0,0.00357,0,0,0,2.44750000000003,0.0483,0
"ERR527026",0,0,0,0.03823,0,0,0,0,0,0,0.23271,0,0,0,0,0,0,0,0,40.26433,0.06541,0.02024,0.37099,2.55384,0,0,0,0,0,0,0,0,0,0,0,0.00334,0.15203,0,0,0,1.02026,0,0,0,0,0,0.57304,0,0,0,0,0,0,2.73658,7.19632,9.2511,0.04059,0,0.01734,0,0,0,0,0.99279,0,0,1.75135,0,0,0,0,0,0,0,0.5954,0,0,0,1.63436,0,0,0,0.50195,0,0,0.1529,0,0,2.16757,0.65851,0,0.32827,0,0,0,0,0,0,0,0,17.28123,0,0,0,0,0,0,0,0,0,6.24089,0,1.27985,0,0,0,0,0,0,0,0.03772,0,0,0,0,0.17377,0,0,0,0,0,1.64687000000002,0.02022,0
"ERR527027",0,0,0,0,0,0,0,0,0,0,0.10386,0,0,0,0,0,0,0,0,61.65572,0,0.00824,0,1.18479,0,0,0,0,0,0,0,0,0,0,0.02961,0.00338,0,0,0,0,0.10465,0,0.01173,0,0,0,0.49696,0,0,0,0,0.03444,0,0.97886,10.77432,3.25427,0,0,0.0297,0,0,0,0,0,0,0,0.38093,0,0,0.03747,0,0,0,0,0.69884,0,0,0,0,0,0,0,0,0,0,0.02519,0,0,2.07932,0,0,0,0,0,0,0,0,0,0,0,0.61188,0,0,0,0,0,0,0,0,0,8.16013,0,0.00814,0,0,0,0,0,0,0,0,0,0,0,0.04353,0.11384,0,0.00048,0,0,0,9.08439999999996,0.02938,0.05594
"ERR527028",0,0.03066,0,0,0,0,0,0,0,0,6.17109,0,0,0,0,0,0,0,0,36.66959,1.30182,0.19097,0.18052,0.84378,0,0,0.0013,0,0,0,0,0,0,0,0.02995,0.27567,0.03638,0,0,0.2956,0.37947,0,0,0,0,0,0.3293,0,0,0,0,0.00274,0,0.8644,7.91469,7.51317,0.028,0,1.65052,0,0,0,0,0.01959,0,0,0,0,0,0,0,0,0,0,1.10766,0,0,0,0,0,0,0,1.27734,0,0,0.71556,0.04522,0,2.54992,0.9864,0,0.02175,0,0,0,0,0,0,0,0,0.01476,0,0,0,0,0,0,0.13929,0,0,10.67873,0,4.73679,0,0,0,0,0,0,0,0,0,0,0,0.00326,10.29382,0,0.54653,0,0,0,2.11152000000001,0,0.04224
"ERR527029",0,0.00375,0,0,0,0.03526,0,0,0,0,3.19775,0,0,0,0,0.0409,0,0,0,31.47571,1.05351,0.38805,0.62133,0.84125,0,0,0,0,0,0,0,0,0,0,0.07771,0.37109,0.4234,0,0,0.01462,0.30459,0,0,0,0.24935,1.3119,0.31883,0,0,0,0,0.10948,0,0.58129,9.39391,12.27632,0.19136,0,2.10135,0,0,0,0,0.23056,0.09516,0,3.1655,0,0,0.03442,0,0,0,0,4.03976,0.71901,0.01598,0,0,0,0,0,0.38508,0,0,0.80783,0,0,3.77953,0.37134,0,0.49684,0,0,0,0,0,3.68121,0,0,5.98899,0,0,0,0,0,0,0,0,0,6.02741,0,0.19016,0,0,0,0,0,0,0,0,0,0,0,0.17318,1.1672,0,1.62725,0,0,0,1.61013000000001,0.01075,0
"ERR527030",0,0,0,0,0,0,0,0,0.01958,0.03271,10.64792,0,0,0,0,0,0,0,0,60.80388,2.59718,0.01962,0.12284,0.33036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03889,0.10248,0.12212,0,0,0,0,0,0.01911,0,0,0,0,0,0,0.1256,1.89399,4.05068,0,0,0.22662,0,0,0,0,0.04215,0,0,0.00414,0,0,0,0,0,0,0,2.36931,0,0,0,0,0,0,0,1.58514,0,0,0.08209,0,0,2.05291,0.99107,0,0.18167,0,0,0,0,0,0.16129,0,0,0.90853,0,0,0,0,0,0,0,0,0,5.50962,0,1.2261,0,0,0,0,0,0,0,0,0,0,0,0,2.13628,0,0,0,0,0,1.55602000000005,0.0401,0
"ERR527031",0,0,0,0,0,0.10201,0,0,0,0.32356,9.62244,0,0,0,0,0.03369,0.04187,0,0,18.29178,2.61355,1.76634,0.6736,2.21596,0,0,0.00163,0.63475,0,0,0,0,0,0,0,0.08575,0.20166,0,0,0.06671,3.80584,0,0,0,0.2231,0,0.81331,0,0,0,0,0,0.39373,9.5797,4.97924,7.5523,0.00923,0,0,0,0,0,0,0,0.02419,0,0.03093,0,0,0.13366,0,0,0,0,0.45933,0,0,0.43303,0,0,0,0,2.05307,0,0,0.71491,0,0,4.11861,0.28564,0,0.08002,0,0,0,0,0,0,0,0.0017,6.87022,0,0,0,0,0,0,0,0,0,2.53413,0,3.9065,0,0,0,0,0,0,0,0,0,0,0,0.19332,11.22172,0,0,0,0,0.0185,2.87939999999993,0.00937,0
"ERR527032",0,0,0,0,0,0.01617,0,0,0,0,2.83501,0,0,0,0,0.00329,0,0,0,31.56362,0.29747,5.97424,0.28473,3.95198,0,0,0,0,0,0,0,0,0,17.80994,0,0.97001,0,0,0.53515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32567,8.09803,12.72768,0.03676,0,0,0,0,0,0,0,0,0,0,0,0,0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29685,0,0,3.15502,0,0,0.44492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05445,0.04247,0,0,0,0,0,5.04186999999999,0,0
"ERR527033",0,0,0,0,0,0.31506,0,0,0,0,13.26566,0,0,0,0,0,0,0,0,27.90967,0,2.27427,0.62043,4.3957,0,0,0,0,0,0,0,0,0,0,0,0.03062,0.18645,0,0,2.95464,2.2562,0,0,0,0,0,2.79268,0,0.03566,0,0,0,0,0.14678,5.51305,4.73804,0.07012,0,0,0,0,0,0,0,0.04929,0,0,0,0,0,0,0,0,0,7.69917,0,0,0,0,0,0,0,1.28231,0,0,1.24443,0.09284,0,4.99354,0,0,0,0,0,0,0,0,0,0,0,1.89728,0,0,0,0,0,0,0,0,0,0.4561,0,0.95839,0,0,0,0,0,0,0,0,0,0,0,0.75323,2.73689,0,0,0,0,0,10.3315,0,0
"ERR527034",0,0.00092,0,0,0,0,0,0,0,0,0.13469,0,0,0,0,0,0,0,0,19.41007,0.01308,0.27923,0.03251,1.75086,0,0,0,0,0,0,0,0.74901,0,0,0,0.03563,0.03045,0,0,0,0.35486,0,0,0,0,0.17879,0.76194,0,0,0,0,0,0,0.17285,4.47068,6.6072,0,0,0.64902,0,0,0,0,0,0,0,0.56456,0,0,0,0,0,0,0,48.68071,0.87339,0,0,0,0,0,0,0.01659,0,0,0,0,0,0.52846,0.28648,0,0.24337,0,0,0,0,0,0,0,0,0,0,0,0.01344,0,0,0,0,0,0,7.49865,0,2.4163,0,0,0,0,0,0,0,0,0,0,0,0.37688,0.35179,0,0,0,0,0,2.32738000000002,0.19021,0
"ERR527035",0,0,0,0,0,0,0,0,0,0,2.9615,0,0,0,0,0.05439,0,0,0,69.80619,0,0,0.39077,2.77367,0,0,0,0,0,0,0,0,0,0,0,3.16146,0.02228,0,0.30318,0,0.12011,0,0,0,0,0,0.1019,0,0.01968,0,0,0,0,0.8715,0.1552,4.58203,0.15847,0,1.05479,0,0,0,0,0.03572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69477,0,0,0.17961,0,0,6.57731,0,0,0.33229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07076,0.21314,0,0,0,0,0,1.52795000000002,0.05258,0
"ERR527036",0,0,0,0,0,0,0,0,0,0,9.44694,0,0,0,0,0,0,0,0,67.31665,1.50983,0,0.28906,0.82539,0,0,0,0,0,0,0,0.01705,0,0,0.01665,0.23055,0,0,0,0.04028,0.15614,0,0,0,0,0,0.16006,0,0,0,0,0,0,1.32102,2.08959,3.57874,0.00153,0,0,0,0,0,0,0.03941,0,0,0.01864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13782,0,0,0.43491,0,0,2.12089,0.00853,0,0,0,0,0,0,0,0,0,0,0.05097,0,0,0,0,0,0,0,0,0,3.14526,0,0.0205,0,0,0,0,0,0,0,0,0,0,0,0.25802,1.35293,0,0,0,0,0,3.39846000000001,0.01418,0
"ERR527037",0,0,0,0,0,0.017,0,0,0,0,2.54806,0,0,0,0,0.03236,0,0,0,49.8078,0.86138,0.20954,0.10268,1.09786,0,0,0,0,0,0,0,0,0,0,0,0,0.06613,0,0,0,2.29165,0,0,0,0,0,0.30001,0,0,0,0,0,0,0.19555,14.38054,4.5009,0,0,0,0,0,0,0,0.08871,0,0,0,0,0,0,0,0,0,0,6.61911,0,0,0,0,0,0,0,0.43239,0,0,0.16628,0,0,1.83643,0.76707,0,0.0499,0,0,0,0,0,0,0,0,0.02244,0,0,0,0,0,0,0,0,0,4.3506,0,6.17378,0,0,0,0,0,0,0,0,0,0,0,0.30803,0.07096,0,0,0,0,0.02355,2.58671,0.09258,0
"ERR527038",0,0,0,0,0,0,0,0,0,0,0.51246,0,0,0,0,0,0,0,0,63.40571,1.34386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31758,3.66927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72351,0,0,0,0,0,2.11447,1.05994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55029,0,1.34595,0,0,0,0,0,0,0,0,0,0,0,0,3.08327,0,0,0,0,0,-1.00000000031741e-05,0,0
"ERR527039",0,0,0,0,0,0,0,0,0,0,6.30936,0,0,0,0,0.08391,0,0,0,33.26127,1.58325,0.79947,0.23882,0.56479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04308,21.31477,0,0,0,0,0.35865,0.89958,0,0.10204,0,0,0,0,0.1914,4.35529,8.7825,0,0,0,0,0,0,0,0.02964,0,0,0,0,0,0,0,0,0,0,0.00283,0,0,0,0,0,0,0,1.51602,0,0,0.50236,0,0,2.82033,2.34091,0,0.41918,0,0,0,0,0,0,0,0,0.02143,0,0,0,0,0,0,0,0,0,6.70267,0,1.78689,0,0,0,0,0,0,0,0,0,0,0,0.03798,3.40291,0,0,0,0,0,1.48312999999999,0.04554,0
